t,l,R,eg
0.159000,0.962291,0.050502,0.483918
0.160000,0.962066,0.050819,0.483817
0.161000,0.961842,0.051135,0.483716
0.162000,0.961617,0.051452,0.483615
0.163000,0.961393,0.051768,0.483514
0.164000,0.961169,0.052085,0.483413
0.165000,0.960945,0.052401,0.483313
0.166000,0.960722,0.052718,0.483212
0.167000,0.960498,0.053034,0.483111
0.168000,0.960275,0.053351,0.483010
0.169000,0.960051,0.053667,0.482909
0.170000,0.959828,0.053983,0.482808
0.171000,0.959605,0.054300,0.482707
0.172000,0.959383,0.054616,0.482607
0.173000,0.959160,0.054932,0.482506
0.174000,0.958938,0.055249,0.482405
0.175000,0.958715,0.055565,0.482304
0.176000,0.958493,0.055881,0.482203
0.177000,0.958271,0.056197,0.482102
0.178000,0.958049,0.056514,0.482002
0.179000,0.957828,0.056830,0.481901
0.180000,0.957606,0.057146,0.481800
0.181000,0.957385,0.057462,0.481699
0.182000,0.957163,0.057778,0.481598
0.183000,0.956942,0.058094,0.481498
0.184000,0.956721,0.058410,0.481397
0.185000,0.956501,0.058727,0.481296
0.186000,0.956280,0.059043,0.481195
0.187000,0.956059,0.059359,0.481094
0.188000,0.955839,0.059675,0.480994
0.189000,0.955619,0.059991,0.480893
0.190000,0.955399,0.060306,0.480792
0.191000,0.955179,0.060622,0.480691
0.192000,0.954959,0.060938,0.480591
0.193000,0.954740,0.061254,0.480490
0.194000,0.954520,0.061570,0.480389
0.195000,0.954301,0.061886,0.480289
0.196000,0.954082,0.062202,0.480188
0.197000,0.953863,0.062517,0.480087
0.198000,0.953644,0.062833,0.479986
0.199000,0.953425,0.063149,0.479886
0.200000,0.953207,0.063465,0.479785
0.201000,0.952988,0.063780,0.479684
0.202000,0.952770,0.064096,0.479584
0.203000,0.952552,0.064412,0.479483
0.204000,0.952334,0.064727,0.479382
0.205000,0.952116,0.065043,0.479282
0.206000,0.951899,0.065358,0.479181
0.207000,0.951681,0.065674,0.479080
0.208000,0.951464,0.065990,0.478980
0.209000,0.951247,0.066305,0.478879
0.210000,0.951030,0.066621,0.478778
0.211000,0.950813,0.066936,0.478678
0.212000,0.950596,0.067251,0.478577
0.213000,0.950380,0.067567,0.478476
0.214000,0.950163,0.067882,0.478376
0.215000,0.949947,0.068197,0.478275
0.216000,0.949731,0.068513,0.478175
0.217000,0.949515,0.068828,0.478074
0.218000,0.949299,0.069143,0.477973
0.219000,0.949083,0.069459,0.477873
0.220000,0.948868,0.069774,0.477772
0.221000,0.948652,0.070089,0.477672
0.222000,0.948437,0.070404,0.477571
0.223000,0.948222,0.070719,0.477471
0.224000,0.948007,0.071034,0.477370
0.225000,0.947792,0.071349,0.477269
0.226000,0.947578,0.071664,0.477169
0.227000,0.947363,0.071980,0.477068
0.228000,0.947149,0.072295,0.476968
0.229000,0.946935,0.072609,0.476867
0.230000,0.946721,0.072924,0.476767
0.231000,0.946507,0.073239,0.476666
0.232000,0.946293,0.073554,0.476566
0.233000,0.946079,0.073869,0.476465
0.234000,0.945866,0.074184,0.476365
0.235000,0.945653,0.074499,0.476264
0.236000,0.945440,0.074813,0.476164
0.237000,0.945227,0.075128,0.476063
0.238000,0.945014,0.075443,0.475963
0.239000,0.944801,0.075758,0.475862
0.240000,0.944588,0.076072,0.475762
0.241000,0.944376,0.076387,0.475662
0.242000,0.944164,0.076702,0.475561
0.243000,0.943952,0.077016,0.475461
0.244000,0.943740,0.077331,0.475360
0.245000,0.943528,0.077645,0.475260
0.246000,0.943316,0.077960,0.475159
0.247000,0.943105,0.078274,0.475059
