min,-5.120000,max,5.120000,populationsize,250,children,40
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],,distance
23,80.529175,599.753422,1.000000,,5.505509,4.420294,5.080083,4.335485,4.241445,5.232791,5.421602,5.684344,5.158393,5.599334,,-0.481697,0.004939,-1.310801,-0.949388,-0.472862,0.036150,0.039097,-0.230367,-0.128923,0.607912,,1.380114
24,80.529175,599.753422,1.000000,,5.355622,4.303415,4.928730,4.174395,4.193265,5.007382,5.222797,5.651866,5.054024,5.469911,,-0.481697,0.004939,-1.310801,-0.949388,-0.472862,0.036150,0.039097,-0.230367,-0.128923,0.607912,,1.370461
25,85.057976,599.753422,1.000000,,5.223578,4.278788,4.873322,4.019971,4.130138,4.837248,4.921343,5.429209,4.885911,5.298853,,-0.796493,-0.098465,-2.820824,-2.919826,0.928711,1.018411,-1.976453,-0.794760,1.643761,-1.908747,,1.406309
26,85.057976,599.753422,1.000000,,5.089158,4.205737,4.652934,3.940858,4.072896,4.810933,4.785215,5.457993,4.881764,5.172480,,-0.796493,-0.098465,-2.820824,-2.919826,0.928711,1.018411,-1.976453,-0.794760,1.643761,-1.908747,,1.426994
27,76.971382,599.753422,1.000000,,4.909340,4.179628,4.611918,3.923801,4.013631,4.784559,4.706491,5.267657,4.787336,5.149323,,0.462340,-0.728693,-0.141390,-0.868791,0.165393,-0.771362,-1.790909,-0.898783,-0.816758,-0.742279,,1.439548
28,76.971382,599.753422,1.000269,,4.799670,4.062084,4.563367,3.862880,3.985245,4.778449,4.649365,5.299112,4.734218,5.128120,,0.462340,-0.728693,-0.141390,-0.868791,0.165393,-0.771362,-1.790909,-0.898783,-0.816758,-0.742279,,1.474566
29,80.628566,599.753422,1.000000,,4.768847,4.020558,4.452615,3.653222,3.831962,4.635752,4.602862,5.052134,4.602339,5.051338,,-0.416327,0.015944,-0.493589,-2.053553,-1.965472,-0.951974,-1.276518,1.995315,-0.939941,0.020923,,1.513734
30,80.628566,599.753422,1.000106,,4.723849,4.043111,4.444734,3.636408,3.842787,4.623145,4.534253,5.054818,4.532351,5.016671,,-0.416327,0.015944,-0.493589,-2.053553,-1.965472,-0.951974,-1.276518,1.995315,-0.939941,0.020923,,1.469637
31,80.628566,599.753422,1.000000,,4.723973,3.998812,4.398392,3.612863,3.777834,4.582853,4.497668,4.992838,4.494268,4.928427,,-0.416327,0.015944,-0.493589,-2.053553,-1.965472,-0.951974,-1.276518,1.995315,-0.939941,0.020923,,1.520427
32,79.981717,519.240932,1.003667,,4.388040,3.784756,4.242298,3.427239,3.533259,4.378968,4.331054,4.733405,4.421208,4.716729,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.582220
33,79.981717,519.240932,1.000000,,4.267453,3.744833,4.157730,3.373514,3.440218,4.399987,4.290392,4.516586,4.334946,4.532387,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.565888
34,59.495609,519.240932,1.006188,,4.198935,3.707446,4.106689,3.232934,3.357089,4.427269,4.235542,4.432460,4.204322,4.456424,,-0.099505,-2.059319,0.991754,-0.119361,0.446157,-1.023518,-0.831647,0.060636,0.874771,-0.475429,,1.588496
35,59.495609,519.240932,1.001242,,4.214324,3.762769,4.075563,3.265866,3.358362,4.315281,4.223606,4.364491,4.177329,4.321697,,-0.099505,-2.059319,0.991754,-0.119361,0.446157,-1.023518,-0.831647,0.060636,0.874771,-0.475429,,1.589637
36,79.981717,519.240932,1.014861,,4.241759,3.714703,4.061122,3.262315,3.342304,4.351563,4.189907,4.342619,4.120085,4.307491,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.626974
37,79.981717,519.240932,1.017665,,4.070067,3.640918,3.895545,3.230475,3.303477,4.244864,4.184246,4.275721,4.032791,4.207402,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.645243
38,79.981717,519.240932,1.021776,,4.027257,3.562493,3.835900,3.201471,3.170027,4.219076,4.118821,4.246082,3.966416,4.217724,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.643588
39,79.981717,519.240932,1.028360,,3.885325,3.486990,3.810274,3.140973,3.121101,4.215894,3.972778,4.100858,3.840552,4.166311,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.647269
40,79.981717,519.240932,1.025169,,3.755123,3.335447,3.775302,3.104632,2.967044,4.158569,3.871902,3.966155,3.803248,4.089230,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.662867
41,79.981717,476.638612,1.020649,,3.527246,3.211310,3.640490,3.069399,2.838779,4.035896,3.775584,3.860983,3.584088,4.087923,,-1.827881,-1.484807,0.469065,0.533823,-0.029299,-0.155493,-0.576185,-1.702385,-0.918363,0.556463,,1.704224
42,71.311921,476.638612,1.021147,,3.465756,3.190177,3.550834,3.041279,2.778879,3.885983,3.747729,3.731805,3.426455,4.010415,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.755428
43,71.311921,476.638612,1.015668,,3.147741,3.143669,3.433968,2.987348,2.651032,3.689616,3.582122,3.563692,3.343972,3.916514,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.773424
44,71.311921,476.638612,1.010662,,3.135132,3.150486,3.366334,3.046461,2.596190,3.675620,3.550699,3.507441,3.262946,3.870094,,-1.328193,-0.937693,-1.835497,-1.130969,-0.129420,0.091990,-1.206183,0.465664,-0.102448,0.208233,,1.801881
