min,-5.120000,max,5.120000,populationsize,250,children,40
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],,distance
353,41.116455,111.858857,1.002347,,0.332713,0.419890,0.385611,0.285406,0.413337,0.354509,0.378721,0.534626,0.391612,0.411412,,-0.029138,-1.341484,-0.911634,-0.870462,-0.844774,-0.905993,0.565015,0.074972,-0.032693,-1.015380,,1.564358
354,41.116455,111.858857,1.000000,,0.329583,0.409082,0.374258,0.278021,0.405719,0.353012,0.378721,0.540689,0.393025,0.405485,,-0.029138,-1.341484,-0.911634,-0.870462,-0.844774,-0.905993,0.565015,0.074972,-0.032693,-1.015380,,1.559677
355,41.116455,111.858857,1.004208,,0.328922,0.402217,0.369136,0.279724,0.403655,0.359306,0.371071,0.532437,0.400064,0.409040,,-0.029138,-1.341484,-0.911634,-0.870462,-0.844774,-0.905993,0.565015,0.074972,-0.032693,-1.015380,,1.571762
356,41.116455,111.858857,1.002412,,0.350793,0.397406,0.379289,0.281147,0.398166,0.355378,0.384854,0.530879,0.399125,0.413064,,-0.029138,-1.341484,-0.911634,-0.870462,-0.844774,-0.905993,0.565015,0.074972,-0.032693,-1.015380,,1.581291
357,41.116455,111.858857,1.000173,,0.348878,0.383002,0.379378,0.282616,0.389159,0.354999,0.382230,0.519533,0.397684,0.416410,,-0.029138,-1.341484,-0.911634,-0.870462,-0.844774,-0.905993,0.565015,0.074972,-0.032693,-1.015380,,1.584708
358,41.116455,111.858857,1.002306,,0.358166,0.377429,0.383586,0.284999,0.384661,0.348254,0.380170,0.518372,0.391079,0.420208,,-0.029138,-1.341484,-0.911634,-0.870462,-0.844774,-0.905993,0.565015,0.074972,-0.032693,-1.015380,,1.578278
359,48.055632,111.858857,1.002258,,0.352309,0.381408,0.378833,0.286426,0.371065,0.347758,0.379936,0.517269,0.390466,0.422047,,0.086358,-1.016394,-0.059569,-1.090291,-0.387648,-0.109705,-0.120591,-1.002262,-0.850840,-0.242184,,1.576029
360,53.089259,111.858857,1.000000,,0.358125,0.387524,0.382400,0.295446,0.369635,0.348330,0.381148,0.527455,0.392031,0.415465,,0.498631,-0.643838,-0.021677,0.079500,-1.074163,-1.779426,-0.840199,-0.096096,-0.816552,-1.107958,,1.580564
361,53.089259,111.858857,1.000000,,0.355429,0.374848,0.385828,0.298116,0.367549,0.349167,0.384392,0.523119,0.385952,0.421292,,0.498631,-0.643838,-0.021677,0.079500,-1.074163,-1.779426,-0.840199,-0.096096,-0.816552,-1.107958,,1.569374
362,53.089259,111.858857,1.012482,,0.351732,0.372774,0.393835,0.294208,0.364819,0.346583,0.385980,0.523287,0.393394,0.423213,,0.498631,-0.643838,-0.021677,0.079500,-1.074163,-1.779426,-0.840199,-0.096096,-0.816552,-1.107958,,1.579164
363,53.089259,111.858857,1.012608,,0.352472,0.379446,0.390650,0.294768,0.361957,0.358344,0.387826,0.530736,0.395884,0.421733,,0.498631,-0.643838,-0.021677,0.079500,-1.074163,-1.779426,-0.840199,-0.096096,-0.816552,-1.107958,,1.582854
364,59.864844,111.858857,1.014909,,0.349352,0.384183,0.391291,0.296149,0.375527,0.350817,0.389335,0.522437,0.420413,0.434398,,-0.945117,-0.591644,-0.032324,-0.724479,-1.097506,-1.083286,-0.026271,-0.806993,-0.005797,-0.684961,,1.593608
365,59.864844,111.858857,1.025952,,0.355024,0.384517,0.376896,0.295227,0.368297,0.364430,0.391014,0.522937,0.404709,0.430318,,-0.945117,-0.591644,-0.032324,-0.724479,-1.097506,-1.083286,-0.026271,-0.806993,-0.005797,-0.684961,,1.598809
366,25.676692,111.858857,1.018627,,0.356417,0.384596,0.379315,0.291974,0.362480,0.362303,0.390852,0.517785,0.407000,0.421296,,-0.054628,-0.084562,-0.940789,-0.080173,-0.939883,-1.171580,-0.089992,-1.102852,0.048358,0.092848,,1.597120
367,48.897929,111.858857,1.027028,,0.374700,0.395664,0.373917,0.289784,0.359157,0.369795,0.405990,0.518142,0.410117,0.428289,,-1.107421,-1.694878,-0.026129,-0.131053,-0.093258,-0.351017,-0.171183,-0.989096,-0.932099,0.008581,,1.597987
368,59.864844,111.858857,1.024239,,0.377210,0.377194,0.372951,0.285568,0.359037,0.368273,0.402478,0.513706,0.413474,0.428069,,-0.945117,-0.591644,-0.032324,-0.724479,-1.097506,-1.083286,-0.026271,-0.806993,-0.005797,-0.684961,,1.602600
369,48.463869,111.858857,1.023526,,0.373442,0.385746,0.382212,0.295428,0.367596,0.364190,0.405339,0.526234,0.415970,0.424397,,-0.657992,-1.132672,-1.009355,-0.776501,-0.216670,-0.159941,-0.105674,-0.900267,0.015147,0.020990,,1.589714
370,59.864844,111.858857,1.019915,,0.385138,0.381393,0.400735,0.302484,0.370116,0.365813,0.401554,0.531034,0.409489,0.437020,,-0.945117,-0.591644,-0.032324,-0.724479,-1.097506,-1.083286,-0.026271,-0.806993,-0.005797,-0.684961,,1.588979
371,38.153973,111.858857,1.019983,,0.385139,0.382620,0.419040,0.310006,0.371893,0.367567,0.418456,0.558755,0.410099,0.433788,,-0.690441,-0.883440,-1.049653,0.474142,-0.142126,-0.050877,0.012101,-1.987582,-0.789646,-0.973364,,1.590521
372,38.153973,111.858857,1.031447,,0.387939,0.385499,0.414075,0.315362,0.374210,0.374713,0.411791,0.553933,0.421538,0.431523,,-0.690441,-0.883440,-1.049653,0.474142,-0.142126,-0.050877,0.012101,-1.987582,-0.789646,-0.973364,,1.613801
373,60.883472,111.858857,1.040713,,0.391286,0.391389,0.411024,0.342977,0.375390,0.374847,0.415970,0.556280,0.425040,0.410294,,-0.783968,0.157048,-0.193880,-0.134850,-0.115280,-0.171672,-0.962820,-0.754869,-0.031778,0.912271,,1.608323
374,49.230614,111.858857,1.041963,,0.392097,0.396759,0.422489,0.364479,0.384360,0.386292,0.417601,0.559201,0.441063,0.409644,,-0.338552,-1.179572,-0.062368,-1.054512,-0.914597,-0.993431,-0.984786,-0.138346,0.339297,0.468245,,1.612535
375,38.622673,111.858857,1.036689,,0.397921,0.384227,0.419549,0.364753,0.385581,0.384208,0.421313,0.564214,0.434465,0.414768,,-0.071015,-0.100283,0.068667,-0.969309,-0.210077,-0.774769,-1.136968,-1.145653,-1.107384,-0.971526,,1.602817
376,39.261515,111.858857,1.031583,,0.398229,0.379839,0.417412,0.371384,0.383580,0.385747,0.418891,0.559005,0.448270,0.417982,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.602087
377,39.261515,111.858857,1.027945,,0.399734,0.397410,0.419212,0.377124,0.385136,0.388727,0.416425,0.546501,0.443845,0.418361,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.598946
378,39.261515,111.858857,1.031093,,0.390421,0.397677,0.424051,0.377255,0.390442,0.388648,0.434303,0.541181,0.443494,0.420883,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.589928
379,39.261515,111.858857,1.026853,,0.391569,0.406489,0.421867,0.361018,0.386814,0.394970,0.455214,0.544981,0.448674,0.433063,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.591880
380,39.261515,111.858857,1.020238,,0.388355,0.419350,0.423156,0.358699,0.393121,0.389802,0.456214,0.541515,0.441545,0.430646,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.586361
381,39.261515,111.858857,1.019305,,0.382105,0.418185,0.426181,0.361225,0.390774,0.392874,0.449436,0.546028,0.430498,0.436367,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.586825
382,39.261515,111.858857,1.016678,,0.383410,0.404753,0.424873,0.353808,0.385591,0.386675,0.452615,0.544607,0.418067,0.451341,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.590097
383,39.261515,111.858857,1.022515,,0.374781,0.394360,0.425105,0.354931,0.393039,0.390784,0.442638,0.552843,0.408754,0.469815,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.579666
384,39.261515,111.858857,1.016097,,0.373271,0.378575,0.428144,0.348409,0.389264,0.398091,0.445657,0.561093,0.410440,0.461391,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.572447
385,39.261515,111.858857,1.011855,,0.366058,0.377785,0.432547,0.347112,0.380624,0.394301,0.441188,0.549531,0.419044,0.450646,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.567429
386,39.261515,111.858857,1.011692,,0.363683,0.374048,0.425332,0.340479,0.376136,0.397331,0.435770,0.550841,0.426310,0.447892,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.564546
387,39.261515,111.858857,1.012539,,0.363909,0.373622,0.427219,0.341136,0.374990,0.398140,0.444988,0.556042,0.428912,0.443252,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.553559
388,39.261515,111.858857,1.007987,,0.350563,0.373963,0.427527,0.343276,0.376687,0.385081,0.442367,0.556913,0.432513,0.443566,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.556714
389,39.261515,111.858857,1.013639,,0.364534,0.372211,0.434065,0.341906,0.381426,0.383627,0.445695,0.553442,0.425146,0.470671,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.559068
390,39.261515,111.858857,1.016441,,0.362626,0.379100,0.452063,0.335193,0.383163,0.388993,0.449814,0.560957,0.433428,0.467400,,-1.930688,-1.974226,-0.309034,-1.086562,-0.081506,-0.872141,-2.037634,0.049368,0.529732,0.501331,,1.558238
391,51.781794,111.858857,1.013415,,0.372346,0.398480,0.445009,0.327666,0.380243,0.385924,0.454367,0.560085,0.435097,0.459742,,-0.063064,0.296688,0.006812,0.451777,-0.040541,-0.109124,-0.199297,0.108549,-0.725123,0.009737,,1.535172
392,51.781794,111.858857,1.014574,,0.372341,0.389572,0.444893,0.334898,0.376584,0.383968,0.454356,0.555077,0.434034,0.452034,,-0.063064,0.296688,0.006812,0.451777,-0.040541,-0.109124,-0.199297,0.108549,-0.725123,0.009737,,1.531986
393,51.781794,111.858857,1.011029,,0.367789,0.391830,0.444323,0.329741,0.375819,0.379137,0.456668,0.571891,0.446261,0.446059,,-0.063064,0.296688,0.006812,0.451777,-0.040541,-0.109124,-0.199297,0.108549,-0.725123,0.009737,,1.536601
394,51.781794,111.858857,1.007809,,0.373829,0.402262,0.454028,0.334093,0.377762,0.384605,0.462509,0.590183,0.445414,0.464733,,-0.063064,0.296688,0.006812,0.451777,-0.040541,-0.109124,-0.199297,0.108549,-0.725123,0.009737,,1.543028
395,51.781794,111.858857,1.004345,,0.371114,0.402345,0.441673,0.336937,0.380206,0.391202,0.475651,0.584935,0.448947,0.463465,,-0.063064,0.296688,0.006812,0.451777,-0.040541,-0.109124,-0.199297,0.108549,-0.725123,0.009737,,1.540013
396,53.002107,111.858857,1.007083,,0.375933,0.406812,0.441190,0.353173,0.378581,0.390439,0.486834,0.592159,0.457911,0.470880,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.539830
397,53.002107,111.858857,1.003729,,0.382690,0.403123,0.450665,0.357225,0.390855,0.395726,0.488248,0.633934,0.462541,0.476998,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.545117
398,53.002107,111.858857,1.003765,,0.386499,0.404163,0.451353,0.376770,0.387388,0.392008,0.496053,0.636847,0.470258,0.473013,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.558010
399,53.002107,111.858857,1.013415,,0.392929,0.421485,0.435925,0.378862,0.384080,0.398626,0.501151,0.626873,0.469750,0.474533,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.569896
400,53.002107,111.858857,1.012470,,0.396337,0.422926,0.417656,0.376369,0.384095,0.395091,0.509618,0.647362,0.469641,0.465922,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.571892
401,53.002107,111.858857,1.017999,,0.383805,0.416234,0.410233,0.380630,0.385303,0.395933,0.508238,0.639440,0.471151,0.463533,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.560269
402,53.002107,111.858857,1.017914,,0.378463,0.423823,0.400957,0.395773,0.386029,0.395331,0.500693,0.630640,0.476278,0.468542,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.543325
403,53.002107,111.858857,1.018683,,0.371404,0.426187,0.401679,0.393492,0.392052,0.405774,0.491028,0.638101,0.478872,0.479840,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.538926
404,53.002107,111.858857,1.012181,,0.368619,0.419534,0.399401,0.389231,0.390705,0.406546,0.486362,0.630509,0.479793,0.460411,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.543148
405,53.002107,111.858857,1.014236,,0.373296,0.428196,0.422778,0.387992,0.383762,0.411143,0.529476,0.645781,0.490521,0.453671,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.535715
406,53.002107,111.858857,1.012556,,0.368820,0.425443,0.427154,0.388620,0.405321,0.420632,0.521592,0.650266,0.496043,0.446992,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.550016
407,53.002107,111.858857,1.008272,,0.381221,0.427720,0.433079,0.391289,0.404179,0.407430,0.503952,0.650391,0.491021,0.444187,,-0.752957,-0.068151,-1.034631,-1.287834,-0.222368,-0.045334,-0.036268,-1.931930,0.942486,0.097852,,1.547099
408,54.120242,111.858857,1.007808,,0.379461,0.422515,0.437737,0.385978,0.396125,0.397504,0.515547,0.646060,0.486247,0.436425,,-0.207317,-0.107839,-1.946219,-0.963203,-0.052023,-0.131865,0.680825,-2.190575,-0.056145,0.084709,,1.537829
409,54.120242,111.858857,1.007463,,0.379327,0.435161,0.445315,0.380585,0.404041,0.404078,0.516897,0.645017,0.479650,0.435235,,-0.207317,-0.107839,-1.946219,-0.963203,-0.052023,-0.131865,0.680825,-2.190575,-0.056145,0.084709,,1.541817
410,45.294065,111.858857,1.003800,,0.372513,0.445313,0.451784,0.375061,0.414062,0.419652,0.511057,0.639583,0.477532,0.434173,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.539276
411,45.294065,111.858857,1.000282,,0.371945,0.462157,0.449126,0.376355,0.415089,0.421711,0.513504,0.628393,0.485194,0.435995,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.542459
412,45.294065,111.858857,1.003294,,0.383339,0.461439,0.443327,0.370699,0.408785,0.423251,0.514156,0.631355,0.479961,0.439953,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.539246
413,45.294065,111.858857,1.001110,,0.379966,0.450889,0.450591,0.383673,0.408885,0.419977,0.538731,0.629070,0.465615,0.432676,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.534700
414,45.294065,111.858857,1.000000,,0.371410,0.446183,0.467748,0.383039,0.385386,0.415920,0.535920,0.647022,0.456225,0.433167,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.540484
415,45.294065,111.858857,1.000000,,0.374349,0.436735,0.463761,0.388945,0.381471,0.411077,0.520169,0.653692,0.474436,0.416649,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.530270
416,45.294065,111.858857,1.000996,,0.371867,0.450931,0.470994,0.381541,0.380393,0.415628,0.522080,0.629471,0.471396,0.418557,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.517291
417,45.294065,111.858857,1.012084,,0.371467,0.453980,0.493767,0.388299,0.381289,0.411528,0.516757,0.643989,0.474776,0.416706,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.533811
418,45.294065,111.858857,1.012797,,0.378602,0.463201,0.497278,0.375190,0.374491,0.413147,0.518242,0.634810,0.460225,0.412924,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.529077
419,45.294065,111.858857,1.011508,,0.390550,0.460891,0.490345,0.371560,0.376269,0.417131,0.531577,0.641987,0.474537,0.420502,,-1.750207,-1.000990,0.404116,0.481320,0.484653,0.614978,-0.839206,-1.132885,0.006831,-0.089229,,1.531771
420,50.004006,111.858857,1.011388,,0.386934,0.458301,0.497300,0.370915,0.376362,0.426412,0.548011,0.643520,0.474742,0.415623,,0.158246,-0.043327,-1.130462,0.480722,-0.909226,-0.031454,-0.802852,-1.322438,0.530554,-0.928902,,1.499555
421,50.004006,111.858857,1.006139,,0.393753,0.471425,0.500140,0.374379,0.364902,0.415733,0.551634,0.640826,0.483518,0.403186,,0.158246,-0.043327,-1.130462,0.480722,-0.909226,-0.031454,-0.802852,-1.322438,0.530554,-0.928902,,1.486622
422,50.004006,111.858857,1.005002,,0.385685,0.473086,0.495576,0.371921,0.361402,0.422594,0.551122,0.651788,0.459580,0.395186,,0.158246,-0.043327,-1.130462,0.480722,-0.909226,-0.031454,-0.802852,-1.322438,0.530554,-0.928902,,1.488966
423,50.004006,111.858857,1.003346,,0.388650,0.468932,0.504060,0.367867,0.372938,0.422543,0.541676,0.640164,0.466247,0.402775,,0.158246,-0.043327,-1.130462,0.480722,-0.909226,-0.031454,-0.802852,-1.322438,0.530554,-0.928902,,1.491070
424,50.004006,111.858857,1.000000,,0.388019,0.473369,0.501343,0.371443,0.382210,0.420624,0.531065,0.623340,0.472048,0.412542,,0.158246,-0.043327,-1.130462,0.480722,-0.909226,-0.031454,-0.802852,-1.322438,0.530554,-0.928902,,1.490033
425,50.004006,111.858857,1.006487,,0.396582,0.467624,0.508726,0.369437,0.387076,0.427435,0.539074,0.630602,0.486953,0.400954,,0.158246,-0.043327,-1.130462,0.480722,-0.909226,-0.031454,-0.802852,-1.322438,0.530554,-0.928902,,1.506532
426,55.484115,111.858857,1.009514,,0.398043,0.467497,0.510820,0.369761,0.388936,0.431486,0.537025,0.621703,0.493265,0.399532,,0.053970,-0.965858,-0.104873,0.036282,-0.294315,-0.076361,-0.668712,-0.345698,0.547111,-1.001636,,1.501183
427,35.719672,111.858857,1.009148,,0.399707,0.462059,0.510148,0.389280,0.390419,0.434639,0.533335,0.617093,0.498416,0.400636,,0.101686,-1.047403,-0.005470,-0.166147,-0.267255,0.459742,-0.168548,0.499529,0.499252,-1.053747,,1.495242
428,57.621473,111.858857,1.018168,,0.400766,0.451442,0.505229,0.395970,0.400134,0.404333,0.533858,0.601498,0.485423,0.397148,,-0.765594,-0.167725,-1.043920,-0.880264,-0.097021,0.508384,-0.207704,-0.188176,0.258359,-1.027162,,1.468745
429,57.621473,111.858857,1.014386,,0.391297,0.453096,0.502400,0.396025,0.397376,0.400890,0.535288,0.594411,0.483106,0.390087,,-0.765594,-0.167725,-1.043920,-0.880264,-0.097021,0.508384,-0.207704,-0.188176,0.258359,-1.027162,,1.474176
430,58.691940,111.858857,1.016191,,0.396496,0.453137,0.498358,0.387814,0.378212,0.400447,0.547024,0.593599,0.485089,0.384121,,-0.866563,-1.706507,-0.048442,0.004758,-0.207149,-0.311171,-0.200192,-0.838397,-0.929815,-0.126487,,1.474040
431,58.691940,111.858857,1.009930,,0.402763,0.451762,0.500230,0.383522,0.376545,0.395957,0.533296,0.586059,0.483606,0.380886,,-0.866563,-1.706507,-0.048442,0.004758,-0.207149,-0.311171,-0.200192,-0.838397,-0.929815,-0.126487,,1.474479
432,58.691940,111.858857,1.007684,,0.400570,0.455857,0.490167,0.386491,0.388645,0.400565,0.542247,0.571713,0.476081,0.398990,,-0.866563,-1.706507,-0.048442,0.004758,-0.207149,-0.311171,-0.200192,-0.838397,-0.929815,-0.126487,,1.469191
433,58.691940,111.858857,1.010969,,0.395539,0.450202,0.477638,0.383260,0.376564,0.395513,0.545245,0.570773,0.469033,0.393089,,-0.866563,-1.706507,-0.048442,0.004758,-0.207149,-0.311171,-0.200192,-0.838397,-0.929815,-0.126487,,1.450548
434,58.691940,111.858857,1.008184,,0.399870,0.460306,0.470347,0.372258,0.379895,0.396615,0.544355,0.558610,0.471680,0.394794,,-0.866563,-1.706507,-0.048442,0.004758,-0.207149,-0.311171,-0.200192,-0.838397,-0.929815,-0.126487,,1.454693
435,56.381425,111.858857,1.018306,,0.389642,0.441693,0.471197,0.370030,0.386228,0.393510,0.529822,0.557798,0.489106,0.387955,,-0.738792,-0.779759,-0.090083,-0.048462,-0.208093,-0.547215,-0.941607,-0.977599,-0.131641,-0.968535,,1.454595
436,50.285286,106.292429,1.022321,,0.383892,0.442934,0.464420,0.362680,0.386078,0.389545,0.536030,0.547885,0.488174,0.386615,,-0.972686,-0.196375,-1.130619,-0.171255,-1.036256,0.038288,-0.808918,-0.880230,1.378376,-0.907971,,1.448402
437,50.285286,106.292429,1.021351,,0.389532,0.447181,0.474102,0.362265,0.380974,0.389697,0.533388,0.554207,0.478365,0.391512,,-0.972686,-0.196375,-1.130619,-0.171255,-1.036256,0.038288,-0.808918,-0.880230,1.378376,-0.907971,,1.441447
438,50.285286,106.292429,1.017177,,0.390754,0.445860,0.464690,0.360774,0.387315,0.382522,0.525291,0.558806,0.478511,0.386431,,-0.972686,-0.196375,-1.130619,-0.171255,-1.036256,0.038288,-0.808918,-0.880230,1.378376,-0.907971,,1.442460
439,41.232507,102.852381,1.015474,,0.376457,0.439128,0.464409,0.358997,0.385544,0.388138,0.499328,0.557955,0.473864,0.381659,,-0.867562,-0.736994,0.502415,-0.100361,-0.048746,-0.964957,-0.755030,-0.000813,-0.103789,0.115692,,1.446931
440,41.232507,102.852381,1.016847,,0.374359,0.442585,0.463833,0.357152,0.387247,0.383304,0.507380,0.560756,0.477048,0.383027,,-0.867562,-0.736994,0.502415,-0.100361,-0.048746,-0.964957,-0.755030,-0.000813,-0.103789,0.115692,,1.457516
441,41.232507,102.852381,1.019338,,0.366417,0.443497,0.468873,0.352855,0.386546,0.378534,0.510334,0.558247,0.475782,0.389410,,-0.867562,-0.736994,0.502415,-0.100361,-0.048746,-0.964957,-0.755030,-0.000813,-0.103789,0.115692,,1.445258
442,41.232507,102.852381,1.015178,,0.367756,0.455430,0.469798,0.348807,0.386885,0.384901,0.503998,0.548106,0.478615,0.389120,,-0.867562,-0.736994,0.502415,-0.100361,-0.048746,-0.964957,-0.755030,-0.000813,-0.103789,0.115692,,1.439938
443,41.232507,102.852381,1.014396,,0.367616,0.462268,0.462743,0.350022,0.381973,0.378794,0.498562,0.546619,0.484798,0.389727,,-0.867562,-0.736994,0.502415,-0.100361,-0.048746,-0.964957,-0.755030,-0.000813,-0.103789,0.115692,,1.429928
444,41.232507,102.852381,1.014885,,0.365476,0.459010,0.460400,0.357468,0.381336,0.380064,0.504361,0.544369,0.476480,0.388836,,-0.867562,-0.736994,0.502415,-0.100361,-0.048746,-0.964957,-0.755030,-0.000813,-0.103789,0.115692,,1.429761
445,43.562829,102.852381,1.012363,,0.363184,0.447837,0.464307,0.352479,0.378645,0.376864,0.503529,0.545140,0.482541,0.393086,,-0.005762,0.580663,-0.694744,-0.950169,-0.227397,-0.108423,-2.077787,-0.013096,0.546382,-0.891855,,1.417949
446,43.562829,102.852381,1.002698,,0.360964,0.449360,0.458857,0.345092,0.369440,0.374344,0.506879,0.551883,0.484272,0.396296,,-0.005762,0.580663,-0.694744,-0.950169,-0.227397,-0.108423,-2.077787,-0.013096,0.546382,-0.891855,,1.411134
447,43.562829,102.852381,1.003838,,0.356101,0.465854,0.462286,0.341199,0.366657,0.371763,0.503119,0.563394,0.490285,0.400258,,-0.005762,0.580663,-0.694744,-0.950169,-0.227397,-0.108423,-2.077787,-0.013096,0.546382,-0.891855,,1.419552
448,43.562829,102.852381,1.000000,,0.359201,0.462761,0.473355,0.341497,0.358535,0.370142,0.506402,0.551660,0.494118,0.404209,,-0.005762,0.580663,-0.694744,-0.950169,-0.227397,-0.108423,-2.077787,-0.013096,0.546382,-0.891855,,1.413815
449,50.285286,102.852381,1.000000,,0.351163,0.458547,0.471341,0.344954,0.359649,0.361229,0.489879,0.550934,0.494268,0.407334,,-0.972686,-0.196375,-1.130619,-0.171255,-1.036256,0.038288,-0.808918,-0.880230,1.378376,-0.907971,,1.403208
450,50.285286,102.852381,1.000000,,0.347222,0.448451,0.467815,0.345867,0.364984,0.356775,0.491455,0.532852,0.494207,0.408381,,-0.972686,-0.196375,-1.130619,-0.171255,-1.036256,0.038288,-0.808918,-0.880230,1.378376,-0.907971,,1.405911
451,50.285286,102.737422,1.000000,,0.345729,0.453919,0.466950,0.337865,0.358161,0.354766,0.490141,0.524438,0.499096,0.406679,,-0.972686,-0.196375,-1.130619,-0.171255,-1.036256,0.038288,-0.808918,-0.880230,1.378376,-0.907971,,1.397924
452,50.285286,102.737422,1.004396,,0.344852,0.450090,0.466151,0.332769,0.361685,0.358426,0.486578,0.524887,0.500810,0.419372,,-0.972686,-0.196375,-1.130619,-0.171255,-1.036256,0.038288,-0.808918,-0.880230,1.378376,-0.907971,,1.418414
453,53.131999,102.737422,1.006528,,0.344509,0.451158,0.467926,0.330663,0.363754,0.353411,0.484807,0.520288,0.490958,0.418638,,-1.327114,-2.091304,0.007760,-0.290537,-0.125715,-0.033957,0.463307,-1.145923,-0.189836,-1.046581,,1.425886
454,53.131999,102.737422,1.001855,,0.346010,0.452717,0.473995,0.325042,0.369824,0.347416,0.478177,0.518336,0.486092,0.415475,,-1.327114,-2.091304,0.007760,-0.290537,-0.125715,-0.033957,0.463307,-1.145923,-0.189836,-1.046581,,1.430451
455,53.131999,102.737422,1.003152,,0.347946,0.452549,0.470631,0.323037,0.362592,0.351917,0.481280,0.513783,0.490355,0.412019,,-1.327114,-2.091304,0.007760,-0.290537,-0.125715,-0.033957,0.463307,-1.145923,-0.189836,-1.046581,,1.426562
456,53.131999,102.737422,1.004711,,0.365681,0.458476,0.479645,0.333263,0.362566,0.352281,0.477588,0.506981,0.489856,0.414140,,-1.327114,-2.091304,0.007760,-0.290537,-0.125715,-0.033957,0.463307,-1.145923,-0.189836,-1.046581,,1.435847
