generation,alpha,evaluation_count,population_size
159,1.0923835522038658,15741,120
160,1.093439351762147,15840,120
161,1.0943612575069734,15939,120
162,1.09561324587484,16038,120
163,1.0969668047207237,16137,120
164,1.0975549941258447,16236,120
165,1.0990232472803367,16335,120
166,1.0996560771825337,16434,120
167,1.1004336432986264,16533,120
168,1.1010194881209929,16632,120
169,1.1015897283476466,16731,120
170,1.1032446649526457,16830,120
171,1.1039627502552258,16929,120
172,1.1045374085663457,17028,120
173,1.104568320249167,17127,120
174,1.1054691916885384,17226,120
175,1.1070853464107884,17325,120
176,1.1076902487579428,17424,120
177,1.1090190555479629,17523,120
178,1.1100832572348514,17622,120
179,1.1120677839317248,17721,120
180,1.1125067520413405,17820,120
181,1.1138409842123047,17919,120
182,1.1146586515200883,18018,120
183,1.1156043156522057,18117,120
184,1.1158978801830035,18216,120
185,1.1164828621771323,18315,120
186,1.1171673411683525,18414,120
187,1.1180260596064042,18513,120
188,1.1201825798047385,18612,120
189,1.12217288610027,18711,120
190,1.1235763666275354,18810,120
191,1.1235907965232992,18909,120
192,1.1239452420441471,19008,120
193,1.1245525297975991,19107,120
194,1.1248111622926666,19206,120
195,1.1258163711788558,19305,120
196,1.1269736267064674,19404,120
197,1.1280015365156415,19503,120
198,1.1289977646083251,19602,120
199,1.1294710962424308,19701,120
200,1.1310903648067527,19800,120
201,1.1314767987397454,19899,120
202,1.1317073580482473,19998,120
203,1.1332668162520882,20097,120
204,1.1346541742961391,20196,120
205,1.1353553535971528,20295,120
206,1.1362847293391805,20394,120
207,1.1371245746160576,20493,120
208,1.1388405846695953,20592,120
209,1.140353836948327,20691,120
210,1.1405755396471744,20790,120
211,1.1424590831398409,20889,120
212,1.1434085642775622,20988,120
213,1.1446809644176024,21087,120
214,1.1451348160276587,21186,120
215,1.1462680141950941,21285,120
216,1.1476445221974469,21384,120
217,1.1490797445454248,21483,120
218,1.1507870851676527,21582,120
219,1.1513039441028197,21681,120
220,1.1520058154913508,21780,120
221,1.1519528931925203,21879,120
222,1.1546360068180506,21978,120
223,1.1559473648847525,22077,120
224,1.1574872434859702,22176,120
225,1.1577149917937277,22275,120
226,1.1589086098091916,22374,120
227,1.1589851486764828,22473,120
228,1.1604731330557543,22572,120
229,1.1610643093443729,22671,120
230,1.1626898811532116,22770,120
231,1.162828470208807,22869,120
232,1.1638937998195593,22968,120
233,1.1646345299012659,23067,120
234,1.1654641166859101,23166,120
235,1.1656600518133451,23265,120
236,1.1664353348569449,23364,120
237,1.1668218660785921,23463,120
238,1.1669136492983081,23562,120
239,1.1673451254263862,23661,120
240,1.1681508699231788,23760,120
241,1.1697078593013097,23859,120
242,1.1691681088233083,23958,120
243,1.1709854079969997,24057,120
244,1.1714150360615372,24156,120
245,1.1725600678589785,24255,120
246,1.1739322482292494,24354,120
247,1.1745564829431989,24453,120
248,1.1751625804205514,24552,120
249,1.1747622190711127,24651,120
250,1.1756401745889169,24750,120
251,1.1760178611285186,24849,120
252,1.1772785943063186,24948,120
253,1.1779568351934058,25047,120
254,1.1786562762311736,25146,120
255,1.1800128446248219,25245,120
256,1.181494653174274,25344,120
257,1.183186707939627,25443,120
258,1.1836877291900141,25542,120
259,1.1848675740651657,25641,120
260,1.1854006666419137,25740,120
261,1.1860999763128983,25839,120
262,1.1869811246064161,25938,120
263,1.1868627361412587,26037,120
264,1.1876711866872405,26136,120
265,1.1881781552592032,26235,120
266,1.1902703166066806,26334,120
267,1.1906363208892601,26433,120
268,1.1912171231894377,26532,120
269,1.1910021274724711,26631,120
270,1.1919518062606245,26730,120
271,1.1918953308185183,26829,120
272,1.1918515705061383,26928,120
273,1.1925710052289391,27027,120
274,1.1932738791489148,27126,120
275,1.1935694332716971,27225,120
276,1.1946013709089072,27324,120
277,1.1953528756497775,27423,120
278,1.196175847996189,27522,120
279,1.1971493799939232,27621,120
280,1.1969605108287651,27720,120
281,1.1977234513466666,27819,120
282,1.1999095956395767,27918,120
283,1.2002117470161013,28017,120
284,1.2009761314909282,28116,120
285,1.2007352759370027,28215,120
286,1.2014008030725276,28314,120
287,1.2014771851379684,28413,120
288,1.2016346096322119,28512,120
289,1.2016731059015162,28611,120
290,1.2015312551194863,28710,120
291,1.2025102855576506,28809,120
292,1.2021498837068123,28908,120
293,1.2027951071657852,29007,120
294,1.2025949541605934,29106,120
295,1.2019145447939155,29205,120
296,1.2015142966366921,29304,120
297,1.2011144157173892,29403,120
298,1.2021420890632168,29502,120
299,1.2019030554569594,29601,120
300,1.2018706636411518,29700,120
301,1.2017481495141136,29799,120
302,1.2013646508093225,29898,120
303,1.2018470484789177,29997,120
304,1.2017218738482938,30096,120
305,1.2021079486341075,30195,120
306,1.2015543200440153,30294,120
307,1.2011191691446812,30393,120
308,1.2017067273641167,30492,120
309,1.2013429950424166,30591,120
310,1.201650729464758,30690,120
311,1.2009538869212559,30789,120
312,1.2005771589633982,30888,120
313,1.2004814619606579,30987,120
314,1.2015535175303156,31086,120
315,1.2013409121848602,31185,120
