generation,alpha,evaluation_count,population_size
142,1.8030516964345058,13490,120
143,1.8076212529319746,13585,120
144,1.8118521108950612,13680,120
145,1.8177393773787343,13775,120
146,1.8215393473661519,13870,120
147,1.8261614884167106,13965,120
148,1.8331087021866197,14060,120
149,1.8404691303622567,14155,120
150,1.8437146750251303,14250,120
151,1.8502947289217027,14345,120
152,1.8541110136995043,14440,120
153,1.865876307042746,14535,120
154,1.868795781855302,14630,120
155,1.8727001494310271,14725,120
156,1.8739044209120344,14820,120
157,1.8817925489285883,14915,120
158,1.8851429125810368,15010,120
159,1.8894649814652906,15105,120
160,1.8959259278134324,15200,120
161,1.9007554917695959,15295,120
162,1.9071291422457386,15390,120
163,1.923098431252225,15485,120
164,1.9264249836935308,15580,120
165,1.9292695013138494,15675,120
166,1.9357482633544791,15770,120
167,1.9404173687668467,15865,120
168,1.9459034694166841,15960,120
169,1.9462445391189813,16055,120
170,1.9586515903777231,16150,120
171,1.9657434634179378,16245,120
172,1.9667548509571284,16340,120
173,1.9720819473296876,16435,120
174,1.9742090848224918,16530,120
175,1.9827122727014286,16625,120
176,1.9882244324750558,16720,120
177,1.993130954055214,16815,120
178,2.0011422714635261,16910,120
179,1.9997477885515302,17005,120
180,2.0039325833785924,17100,120
181,2.0108437743665619,17195,120
182,2.0179853502369385,17290,120
183,2.0193949067257941,17385,120
184,2.0256770502676931,17480,120
185,2.0308665336708267,17575,120
186,2.0306873124677685,17670,120
187,2.0330326795094646,17765,120
188,2.0375480924900256,17860,120
189,2.0398865531879373,17955,120
190,2.0404167854819497,18050,120
191,2.0448415851758055,18145,120
192,2.0494076659307945,18240,120
193,2.0548544107618572,18335,120
194,2.0565882313287149,18430,120
195,2.0659857113148794,18525,120
196,2.0728853007236503,18620,120
197,2.0776600026880674,18715,120
198,2.0867203600403301,18810,120
199,2.0850854074001042,18905,120
200,2.0874037688420017,19000,120
201,2.0901500624939438,19095,120
202,2.0898500781897487,19190,120
203,2.0931544075972477,19285,120
204,2.0999725528252435,19380,120
205,2.1027836739366332,19475,120
206,2.1080346106810666,19570,120
207,2.1151617655716541,19665,120
208,2.1192926006004544,19760,120
209,2.1237461281311942,19855,120
210,2.1260206924543992,19950,120
211,2.131926418178407,20045,120
212,2.1363632899259803,20140,120
213,2.142102525575309,20235,120
214,2.1560827269773086,20330,120
215,2.1580441777775103,20425,120
216,2.1660099843622342,20520,120
217,2.1660129766940286,20615,120
218,2.1652495598599906,20710,120
219,2.170183801508903,20805,120
220,2.1757821007208062,20900,120
221,2.187912585538339,20995,120
222,2.1927375335305634,21090,120
223,2.1946782947863777,21185,120
224,2.2025397651248086,21280,120
225,2.2079574330002263,21375,120
226,2.2147488517580758,21470,120
227,2.2162494422405024,21565,120
228,2.2192831232091268,21660,120
229,2.2215787410293824,21755,120
230,2.2252724928989513,21850,120
231,2.2394718343640836,21945,120
232,2.2394459859121025,22040,120
233,2.2437164969922856,22135,120
234,2.2449794397191787,22230,120
235,2.2486966812481515,22325,120
236,2.2499445113611056,22420,120
237,2.2621686623497625,22515,120
238,2.2693868832369906,22610,120
239,2.2716982859296939,22705,120
240,2.2753458819656931,22800,120
241,2.2790238998735197,22895,120
242,2.277865350038228,22990,120
243,2.2792665796703835,23085,120
244,2.2854530806430557,23180,120
245,2.2877213706790065,23275,120
246,2.2874657079815917,23370,120
247,2.2917156860758063,23465,120
248,2.2948257099325762,23560,120
249,2.2981985469610375,23655,120
250,2.3036666099222765,23750,120
251,2.3057975874898609,23845,120
252,2.3092465402528131,23940,120
253,2.3068676336517941,24035,120
254,2.3059589754529672,24130,120
255,2.3088360733234277,24225,120
256,2.3140209038376818,24320,120
257,2.315799639373044,24415,120
258,2.3204895980739675,24510,120
259,2.3252371967165555,24605,120
260,2.3300323557331626,24700,120
261,2.3289163626769991,24795,120
262,2.3333294891460716,24890,120
263,2.3334684536508097,24985,120
264,2.3364594174510547,25080,120
265,2.3454151351843979,25175,120
266,2.3441619354729482,25270,120
267,2.3483587821540115,25365,120
268,2.3521789778282103,25460,120
269,2.3613259097701698,25555,120
270,2.3673361171017806,25650,120
271,2.3711243257818291,25745,120
272,2.3731131465116926,25840,120
273,2.3855910660638058,25935,120
274,2.3964889631505333,26030,120
275,2.3997083309331551,26125,120
276,2.4027295200712304,26220,120
