min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
13,244.853507,840.092087,1.001054,,6.677991,7.074717,6.094047,6.390709,6.316051,6.768238,6.345149,7.063695,6.612041,6.364646,7.050056,7.451223,6.778487,6.349294,6.236649,6.778918,6.585525,6.975946,6.501977,6.861016,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,2.154072
14,205.366126,840.092087,1.001920,,6.452114,6.896644,6.011758,6.349926,6.203876,6.575536,6.225029,6.967902,6.486196,6.217496,6.844642,7.387814,6.534370,6.143165,6.167849,6.686338,6.392923,6.803745,6.317667,6.769145,,-0.077995,1.862618,-1.926681,1.401107,-4.044128,-3.295379,-1.336540,3.680985,0.889727,-4.102996,-0.989971,-0.708934,-1.241759,0.943359,-1.797764,2.882910,-1.047334,3.113397,-2.169802,4.965180,,2.277260
15,244.853507,837.587866,1.000256,,6.427173,6.828216,5.883714,6.229455,6.119994,6.443875,6.123475,7.022274,6.321201,6.214253,6.742392,7.240734,6.444652,5.990111,6.081726,6.621255,6.256265,6.728658,6.272737,6.767712,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,2.391356
16,244.853507,837.587866,1.002168,,6.342923,6.751769,5.788154,6.091708,6.029564,6.391092,6.098706,6.887981,6.135025,6.102141,6.537637,7.142438,6.296747,5.984632,6.009175,6.619640,6.119708,6.610603,6.206851,6.657293,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,2.499560
17,244.853507,837.587866,1.003001,,6.163025,6.536520,5.704021,5.913867,5.911321,6.320187,5.960274,6.670868,6.073642,5.977493,6.371424,6.987431,6.184102,5.905846,5.873428,6.504009,6.023294,6.512793,6.157843,6.607574,,-3.272868,4.077982,-1.675957,2.529404,-1.900740,-2.178172,1.072171,0.672659,-3.509959,-0.727863,-3.989099,0.929741,-2.300722,-0.484712,-3.873209,0.965086,-0.043021,4.924450,3.053458,2.731369,,2.632023
18,223.495061,837.587866,1.000068,,5.989247,6.400641,5.490224,5.871626,5.903519,6.216031,5.848619,6.738229,5.987638,5.909606,6.344984,6.893888,5.947798,5.912725,5.778010,6.412003,5.886818,6.345449,6.134750,6.652093,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,2.742326
19,223.495061,837.587866,1.000000,,5.847298,6.283122,5.412276,5.735728,5.785974,6.120003,5.842582,6.607019,5.828595,5.858797,6.156371,6.800552,5.889871,5.824030,5.700873,6.358040,5.814109,6.266249,6.001186,6.504793,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,2.877018
20,223.495061,837.587866,1.000693,,5.679321,6.262451,5.312589,5.678102,5.666245,5.954331,5.652317,6.398906,5.709236,5.717326,6.149256,6.579582,5.706976,5.771947,5.567994,6.216185,5.700414,6.008019,5.987916,6.426843,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,2.944378
21,223.495061,837.587866,1.001815,,5.552087,6.129343,5.282238,5.546554,5.639618,5.765844,5.625938,6.264441,5.554662,5.626968,5.971613,6.541750,5.583201,5.637175,5.502483,6.133867,5.485956,5.965298,6.016236,6.342077,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.052125
22,223.495061,837.587866,1.003874,,5.446457,5.974883,5.216894,5.466664,5.596448,5.653442,5.590460,6.324116,5.497937,5.547818,5.801629,6.388967,5.478819,5.412525,5.326973,6.109424,5.381412,5.785151,5.972842,6.391152,,-0.875218,2.327154,3.436611,-0.165591,-1.955637,-3.798138,-2.812915,2.757322,-1.327051,-2.772118,-4.155335,0.064682,-2.291649,-0.172616,-0.869103,3.032165,0.023173,1.457064,0.229653,4.867549,,3.198959
