min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
13,234.696150,1413.463346,1.007639,,7.147260,7.051421,7.648338,7.159739,6.530861,6.867752,6.684744,6.844039,6.992119,6.392473,7.606163,7.289673,7.185814,6.646389,7.110380,6.719995,7.200267,6.954927,6.477751,6.680607,,-1.278086,3.081806,-0.191203,2.411469,-1.708351,-0.683241,-1.873402,-1.747750,-0.180991,-3.767267,-1.407167,-0.790143,-1.261104,-1.870440,-2.237999,1.455677,-1.992780,0.609047,0.901069,0.477038,,1.585199
14,234.696150,1413.463346,1.007188,,7.024100,6.855935,7.579108,7.115470,6.511813,6.777687,6.589713,6.819478,6.927057,6.255636,7.630118,7.236551,7.098971,6.602773,7.048920,6.641678,7.125763,6.893345,6.350082,6.717439,,-1.278086,3.081806,-0.191203,2.411469,-1.708351,-0.683241,-1.873402,-1.747750,-0.180991,-3.767267,-1.407167,-0.790143,-1.261104,-1.870440,-2.237999,1.455677,-1.992780,0.609047,0.901069,0.477038,,1.700265
15,257.284144,1413.463346,1.005659,,6.921950,6.718338,7.336648,7.036308,6.374076,6.414793,6.347252,6.795178,6.723644,6.074755,7.478244,7.035932,6.976277,6.333991,6.791116,6.484072,7.085615,6.829836,6.181368,6.538516,,-1.961021,-1.188571,-4.344067,-0.493594,-3.645350,-3.029622,-3.006421,2.295899,-2.959136,-1.176316,-4.876425,-0.927904,-1.886436,-0.508840,-0.087042,1.363631,-3.265380,2.702117,-0.800877,-1.034269,,1.861891
16,257.284144,1413.463346,1.005470,,6.784630,6.588111,7.213929,6.963634,6.362527,6.354686,6.315966,6.619635,6.689204,5.948448,7.355187,6.901029,6.858720,6.342275,6.593947,6.354599,6.970202,6.750970,6.051460,6.446071,,-1.961021,-1.188571,-4.344067,-0.493594,-3.645350,-3.029622,-3.006421,2.295899,-2.959136,-1.176316,-4.876425,-0.927904,-1.886436,-0.508840,-0.087042,1.363631,-3.265380,2.702117,-0.800877,-1.034269,,1.968079
17,257.284144,1413.463346,1.006725,,6.790750,6.522192,7.080264,6.951991,6.354260,6.260587,6.234455,6.528274,6.579028,5.947893,7.372737,6.844850,6.834937,6.326415,6.496248,6.231192,6.912081,6.659398,5.944831,6.458689,,-1.961021,-1.188571,-4.344067,-0.493594,-3.645350,-3.029622,-3.006421,2.295899,-2.959136,-1.176316,-4.876425,-0.927904,-1.886436,-0.508840,-0.087042,1.363631,-3.265380,2.702117,-0.800877,-1.034269,,2.120004
18,233.099303,1413.463346,1.004546,,6.734680,6.448211,6.967175,6.726058,6.349794,6.149314,6.175307,6.393891,6.525692,5.859245,7.174483,6.754878,6.744618,6.270070,6.347157,6.071498,6.777706,6.553562,5.872736,6.425020,,-0.179546,0.972260,-0.848784,2.364049,-4.065585,-1.969357,-2.774055,1.012829,-4.066601,-0.746368,-4.901793,0.183806,-4.362430,-2.936534,-2.504923,1.385741,-3.199387,1.828171,-1.147034,1.852458,,2.238070
19,233.099303,1413.463346,1.005364,,6.629818,6.301970,6.817958,6.581936,6.280678,6.071652,6.091930,6.406423,6.424187,5.737238,7.069795,6.710090,6.583140,6.171338,6.149373,5.997229,6.750683,6.450084,5.792266,6.326175,,-0.179546,0.972260,-0.848784,2.364049,-4.065585,-1.969357,-2.774055,1.012829,-4.066601,-0.746368,-4.901793,0.183806,-4.362430,-2.936534,-2.504923,1.385741,-3.199387,1.828171,-1.147034,1.852458,,2.379481
20,226.762710,1413.463346,1.006428,,6.507488,6.112498,6.770204,6.501905,6.089888,5.973655,5.988593,6.377089,6.386326,5.684551,6.893114,6.630744,6.532921,6.059589,6.006224,5.944322,6.619956,6.399547,5.709523,6.152095,,-1.657304,2.509438,2.435132,1.248381,-1.889047,-2.391798,-0.940255,2.675212,-4.049260,-0.338631,-0.888650,-0.856279,-1.756384,0.001422,-1.886127,0.405064,-1.543121,1.640543,0.280495,1.322322,,2.461153
21,226.762710,1368.982648,1.005986,,6.402482,6.057584,6.705071,6.369224,5.950917,5.882034,5.937067,6.298372,6.301456,5.632752,6.767970,6.576025,6.465284,5.949367,5.802173,5.901982,6.512519,6.304557,5.642167,6.108616,,-1.657304,2.509438,2.435132,1.248381,-1.889047,-2.391798,-0.940255,2.675212,-4.049260,-0.338631,-0.888650,-0.856279,-1.756384,0.001422,-1.886127,0.405064,-1.543121,1.640543,0.280495,1.322322,,2.559738
22,253.338658,1368.982648,1.004704,,6.324899,5.937949,6.552596,6.274699,5.894259,5.714938,5.789757,6.297694,6.172979,5.581009,6.600210,6.360622,6.391281,5.919254,5.675486,5.781905,6.460444,6.288714,5.551994,5.944476,,-0.678463,3.282166,1.027510,0.976504,-2.191514,-3.930653,-0.640870,1.486894,-3.515114,-1.908837,-5.046424,-2.036214,-1.576132,1.776746,-0.081752,0.555361,-2.585779,2.774774,-1.283349,0.976374,,2.707328
