min,-5.120000,max,5.120000,populationsize,500,children,80
gen,best,worst,alpha,,var_x[0],var_x[1],var_x[2],var_x[3],var_x[4],var_x[5],var_x[6],var_x[7],var_x[8],var_x[9],var_x[10],var_x[11],var_x[12],var_x[13],var_x[14],var_x[15],var_x[16],var_x[17],var_x[18],var_x[19],,best_x[0],best_x[1],best_x[2],best_x[3],best_x[4],best_x[5],best_x[6],best_x[7],best_x[8],best_x[9],best_x[10],best_x[11],best_x[12],best_x[13],best_x[14],best_x[15],best_x[16],best_x[17],best_x[18],best_x[19],,distance
13,241.225038,829.623454,1.000856,,7.057771,7.125116,7.079924,7.520685,7.012382,7.094625,6.649641,7.562498,7.430214,6.704519,7.608847,7.648370,7.316305,7.278671,7.002984,7.140258,6.849563,7.380383,6.960114,7.525200,,0.527573,1.660396,1.922790,2.596902,-1.115755,-1.648197,0.956441,-0.027231,-3.016983,-1.163519,-4.863498,-1.930123,-2.943986,-1.520117,-1.705599,2.112819,-2.918128,3.696046,-1.603118,4.099930,,2.116755
14,241.225038,829.623454,1.000786,,6.966778,6.742902,6.847681,7.244557,6.876529,6.998072,6.504146,7.403889,7.241055,6.641393,7.421036,7.557717,7.210498,7.113450,6.929122,6.917494,6.741439,7.202172,6.760272,7.431901,,0.527573,1.660396,1.922790,2.596902,-1.115755,-1.648197,0.956441,-0.027231,-3.016983,-1.163519,-4.863498,-1.930123,-2.943986,-1.520117,-1.705599,2.112819,-2.918128,3.696046,-1.603118,4.099930,,2.243903
15,258.872683,828.361629,1.000000,,6.790476,6.532338,6.637425,7.122044,6.852874,6.902758,6.404590,7.280215,7.117826,6.513388,7.330673,7.499608,6.894333,7.047886,6.841008,6.790033,6.667864,7.055196,6.688328,7.283882,,2.888674,3.986585,1.592557,2.768874,0.100261,-2.138021,1.324255,2.895871,-3.845724,-1.735024,-2.245191,0.070026,0.103188,-1.697002,-1.212536,1.099603,0.793240,-0.946006,1.387990,2.822540,,2.332523
16,258.872683,828.361629,1.000938,,6.698227,6.412097,6.523457,7.027228,6.755618,6.853776,6.340425,7.014426,7.033563,6.407967,7.242593,7.410217,6.764492,7.062489,6.646451,6.735716,6.559534,7.007152,6.551853,7.286424,,2.888674,3.986585,1.592557,2.768874,0.100261,-2.138021,1.324255,2.895871,-3.845724,-1.735024,-2.245191,0.070026,0.103188,-1.697002,-1.212536,1.099603,0.793240,-0.946006,1.387990,2.822540,,2.463443
17,245.959812,828.361629,1.000634,,6.631724,6.246582,6.369646,6.898052,6.600704,6.587023,6.260261,6.832046,6.918809,6.289888,7.093671,7.195590,6.506326,6.950872,6.495623,6.549710,6.498765,6.874749,6.356201,7.176133,,0.818623,3.856174,3.993140,0.433442,-3.953605,-2.611817,-1.751969,2.722487,-4.514148,0.469287,-2.115120,-0.088919,-0.282685,-0.123743,-0.132605,4.250419,-1.235630,2.755893,0.056392,4.760009,,2.633870
18,254.891658,828.361629,1.000000,,6.396250,6.197906,6.306937,6.873793,6.506944,6.542720,6.176274,6.808070,6.872460,6.274435,6.976371,7.033705,6.338964,6.842810,6.430857,6.494566,6.398488,6.927381,6.332805,7.104788,,-3.009506,1.156634,-2.157477,4.943955,-0.151695,-1.780099,0.706182,1.904225,-4.537414,-2.991381,-3.892015,2.265261,-4.237417,-0.082678,-2.869194,1.143652,-2.284229,4.345757,-1.334374,1.408290,,2.744970
19,254.891658,828.361629,1.000000,,6.199541,6.042238,6.211205,6.632875,6.320934,6.377152,6.020526,6.713305,6.682580,6.065820,6.739615,6.825058,6.253910,6.842056,6.374061,6.405538,6.141988,6.771504,6.140790,7.084348,,-3.009506,1.156634,-2.157477,4.943955,-0.151695,-1.780099,0.706182,1.904225,-4.537414,-2.991381,-3.892015,2.265261,-4.237417,-0.082678,-2.869194,1.143652,-2.284229,4.345757,-1.334374,1.408290,,2.905262
20,254.891658,828.361629,1.001924,,6.164879,5.880911,6.067699,6.342178,6.169175,6.065808,5.886855,6.654329,6.539407,5.986344,6.644361,6.715806,6.201653,6.691445,6.198650,6.338590,5.965854,6.820227,6.124546,6.856423,,-3.009506,1.156634,-2.157477,4.943955,-0.151695,-1.780099,0.706182,1.904225,-4.537414,-2.991381,-3.892015,2.265261,-4.237417,-0.082678,-2.869194,1.143652,-2.284229,4.345757,-1.334374,1.408290,,3.021499
21,254.891658,828.361629,1.000000,,5.949559,5.790827,5.944563,6.164081,6.043840,5.973270,5.833360,6.489737,6.372225,5.942241,6.528143,6.594476,6.105069,6.615722,6.064217,6.247423,5.875093,6.559314,5.942717,6.576705,,-3.009506,1.156634,-2.157477,4.943955,-0.151695,-1.780099,0.706182,1.904225,-4.537414,-2.991381,-3.892015,2.265261,-4.237417,-0.082678,-2.869194,1.143652,-2.284229,4.345757,-1.334374,1.408290,,3.093238
22,232.540854,828.361629,1.001268,,5.914827,5.692367,5.846716,6.002434,5.919984,5.809568,5.756945,6.306773,6.149047,5.855604,6.393009,6.473711,5.989620,6.426942,6.027670,6.153267,5.761336,6.538895,5.825924,6.460150,,-0.151177,2.060997,3.837590,0.885130,-0.185620,-0.816617,-2.083936,1.426626,-2.026174,-2.029282,-2.996273,-4.052053,-0.021026,-2.403944,-1.287574,0.727348,-1.807938,4.232198,2.286080,4.807139,,3.204435
23,232.540854,828.361629,1.000000,,5.861411,5.476259,5.624641,6.008588,5.893774,5.588247,5.714980,6.245210,5.898942,5.767243,6.291370,6.344005,5.850229,6.285481,6.014529,6.135066,5.647011,6.325859,5.700478,6.334696,,-0.151177,2.060997,3.837590,0.885130,-0.185620,-0.816617,-2.083936,1.426626,-2.026174,-2.029282,-2.996273,-4.052053,-0.021026,-2.403944,-1.287574,0.727348,-1.807938,4.232198,2.286080,4.807139,,3.314403
24,232.540854,828.361629,1.000770,,5.758372,5.426573,5.453361,5.929028,5.894654,5.470105,5.631138,6.228143,5.813870,5.704432,6.142831,6.248281,5.840971,6.221077,5.939377,6.150085,5.601017,6.277714,5.540741,6.296391,,-0.151177,2.060997,3.837590,0.885130,-0.185620,-0.816617,-2.083936,1.426626,-2.026174,-2.029282,-2.996273,-4.052053,-0.021026,-2.403944,-1.287574,0.727348,-1.807938,4.232198,2.286080,4.807139,,3.380510
25,208.675684,828.361629,1.002210,,5.646499,5.387671,5.426644,5.932701,5.887024,5.452887,5.556998,6.160500,5.746306,5.659564,6.012730,6.130245,5.669481,6.176310,5.960011,6.091249,5.504355,6.183165,5.476103,6.206166,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,3.480215
26,208.675684,828.361629,1.001824,,5.509794,5.358659,5.455241,5.891041,5.769566,5.344528,5.405008,6.082146,5.623324,5.608552,5.996965,5.955585,5.586237,6.024810,5.902958,6.064522,5.416322,6.046358,5.359865,6.060498,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,3.594363
27,208.675684,828.361629,1.000000,,5.441247,5.298415,5.356716,5.729966,5.661928,5.310120,5.336835,5.988989,5.551486,5.503677,5.871999,5.915667,5.479602,5.924340,5.802971,6.038346,5.313068,5.827818,5.221734,5.823278,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,3.698756
28,208.675684,828.361629,1.000000,,5.272112,5.225351,5.342868,5.673031,5.493666,5.047333,5.256361,5.833575,5.455258,5.355313,5.797705,5.605698,5.358412,5.846234,5.682658,5.922787,5.202660,5.626324,5.155695,5.605980,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,3.783715
29,208.675684,828.361629,1.000000,,5.268508,5.101544,5.296857,5.475685,5.403372,4.899386,5.141484,5.688390,5.315520,5.294117,5.640233,5.477876,5.305707,5.868985,5.568894,5.885113,5.143084,5.646631,5.106502,5.447308,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,3.912616
30,208.675684,828.361629,1.000000,,5.242972,5.055873,5.251126,5.413880,5.350576,4.850498,5.013122,5.624808,5.299226,5.173336,5.683983,5.401111,5.240585,5.800427,5.440472,5.849790,5.079098,5.556391,5.108705,5.454033,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,4.034769
31,208.675684,828.361629,1.000000,,5.115439,4.990691,5.137480,5.288449,5.265754,4.803371,4.747917,5.530988,5.239235,5.093957,5.447708,5.316312,5.219438,5.698245,5.294861,5.798305,4.885949,5.286189,5.061730,5.206686,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,4.166560
32,208.675684,828.361629,1.001609,,5.023477,4.983342,5.086516,5.157969,5.177389,4.685854,4.629096,5.468011,5.139070,4.962602,5.338789,5.126476,5.143494,5.633889,5.219571,5.685302,4.800536,5.214042,5.010589,5.100561,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,4.295656
33,208.675684,828.361629,1.000000,,4.859032,4.928817,5.025709,5.059009,5.117532,4.631180,4.524598,5.422964,4.983673,4.927880,5.214441,5.091780,5.111221,5.545958,5.170120,5.582398,4.745185,5.085029,4.992097,5.039848,,-0.924250,1.322765,1.003702,0.811165,-3.499331,-0.803666,-2.916154,2.953482,-1.004615,-1.764487,-1.917628,1.026086,-1.013666,-1.596585,-2.075132,-0.752193,1.014783,2.351346,-1.061971,1.061031,,4.358575
