dimension,200,seed,1
,mode,2
times,cosR,error
21.100000,0.401177,0.374000
21.200000,0.403101,0.373600
21.300000,0.404943,0.372900
21.400000,0.406565,0.372500
21.500000,0.408945,0.370600
21.600000,0.411769,0.369900
21.700000,0.413832,0.368700
21.800000,0.415818,0.367800
21.900000,0.418067,0.367000
22.000000,0.420822,0.365500
22.100000,0.422700,0.364400
22.200000,0.424690,0.363900
22.300000,0.426451,0.363600
22.400000,0.428617,0.362700
22.500000,0.430546,0.362400
22.600000,0.432773,0.361600
22.700000,0.435007,0.361400
22.800000,0.436851,0.360500
22.900000,0.439020,0.359800
23.000000,0.441072,0.359000
23.100000,0.443003,0.358000
23.200000,0.445236,0.356800
23.300000,0.447320,0.356100
23.400000,0.449021,0.355900
23.500000,0.450595,0.355500
23.600000,0.452024,0.354400
23.700000,0.453596,0.354700
23.800000,0.455098,0.353200
23.900000,0.457272,0.352100
24.000000,0.459437,0.351400
24.100000,0.461450,0.350500
24.200000,0.463082,0.349900
24.300000,0.464901,0.349400
24.400000,0.467384,0.348700
24.500000,0.469203,0.347600
24.600000,0.471194,0.347200
24.700000,0.472841,0.347200
24.800000,0.474659,0.345400
24.900000,0.476522,0.345400
25.000000,0.478272,0.344200
25.100000,0.480078,0.344300
25.200000,0.481670,0.343600
25.300000,0.483408,0.342800
25.400000,0.485239,0.342000
25.500000,0.487250,0.341400
25.600000,0.489088,0.340000
25.700000,0.491093,0.339200
25.800000,0.492707,0.338700
25.900000,0.494415,0.337600
26.000000,0.496027,0.336200
26.100000,0.497936,0.335100
26.200000,0.500079,0.334400
26.300000,0.502391,0.333500
26.400000,0.504090,0.333100
26.500000,0.506032,0.332400
26.600000,0.508236,0.331800
26.700000,0.510426,0.330800
26.800000,0.511792,0.330700
26.900000,0.513070,0.329900
27.000000,0.515000,0.329200
27.100000,0.517085,0.328500
27.200000,0.518523,0.328000
27.300000,0.520333,0.327300
27.400000,0.521664,0.327200
27.500000,0.523244,0.326900
27.600000,0.525404,0.325900
27.700000,0.527626,0.324400
27.800000,0.529159,0.324000
27.900000,0.530689,0.323800
28.000000,0.532683,0.322400
28.100000,0.534027,0.321700
28.200000,0.535245,0.321800
28.300000,0.536961,0.320500
28.400000,0.538500,0.320100
28.500000,0.540358,0.318500
28.600000,0.542305,0.318100
28.700000,0.544091,0.317000
28.800000,0.546033,0.315900
28.900000,0.547952,0.315300
29.000000,0.550044,0.314500
29.100000,0.551713,0.314000
29.200000,0.553518,0.312800
29.300000,0.555533,0.312600
29.400000,0.557418,0.312000
29.500000,0.559318,0.311600
29.600000,0.560904,0.310900
29.700000,0.562662,0.310700
29.800000,0.563847,0.310200
29.900000,0.566000,0.309300
30.000000,0.567651,0.308500
30.100000,0.569345,0.308000
30.200000,0.571542,0.306500
30.300000,0.573321,0.305900
30.400000,0.575081,0.305500
30.500000,0.577199,0.304900
30.600000,0.578621,0.304600
30.700000,0.580821,0.304300
30.800000,0.582302,0.303900
30.900000,0.584029,0.303000
31.000000,0.585659,0.302500
31.100000,0.586911,0.301800
31.200000,0.588852,0.301100
31.300000,0.590697,0.300500
31.400000,0.592735,0.299400
31.500000,0.594267,0.299000
31.600000,0.595748,0.298600
31.700000,0.597203,0.298000
31.800000,0.598948,0.297700
31.900000,0.600444,0.297000
32.000000,0.601772,0.296200
32.100000,0.603564,0.295000
32.200000,0.605185,0.294800
32.300000,0.607086,0.294300
32.400000,0.609235,0.293200
32.500000,0.610669,0.292400
32.600000,0.612017,0.291700
